dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,106.251,7.885694844665445,104.651,9.024446777483906
1,106.243,7.80684942200744,103.774,9.017773796466855
2,106.318,7.93005433535999,103.631,9.331876709586497
3,106.578,7.909264976751788,103.607,9.32069881642071
4,106.207,7.780403953888621,102.718,9.260682277037489
5,106.025,7.739397474821491,101.782,9.06535474521856
6,105.844,7.968510598672826,101.249,8.98753441021367
7,106.277,7.70490990451132,101.385,8.677330872513222
8,106.137,7.827227893481606,101.508,8.202390823120734
9,106.556,8.029404419714787,101.827,7.530722593668073
10,105.776,7.865347270635143,102.022,7.364220783473819
