dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,107.51,7.839950870976082,106.036,8.935681104067399
1,106.872,8.17736844647585,105.846,9.18384287430266
2,106.996,8.172488184528168,104.72,9.568317794200903
3,107.268,7.986472530909622,104.314,9.08584112881334
4,107.492,8.06076223291266,104.36,9.21608770276684
5,106.984,8.026992538830273,103.012,9.750589931281903
6,106.836,8.123366430509499,102.504,9.12384090972063
7,107.504,8.105886428366682,102.532,8.877533283203661
8,106.952,8.136713600492085,101.48,8.511079658533799
9,107.108,7.8044959038124455,102.36,7.825655356807317
10,106.766,8.061589324996019,103.318,8.117429477528296
