dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,97.558,6.892760415548052,92.165,8.068015113264716
1,97.941,6.896744455472023,92.451,7.804390271347756
2,97.301,6.442352280254697,92.285,7.59443549254653
3,97.787,6.969806970728042,92.597,7.950333250801428
4,97.584,6.895396325845998,92.568,7.862645686866298
5,97.681,6.867051433868498,92.523,7.357962395297397
6,97.596,6.902204316334342,92.783,7.414910106797782
7,97.542,6.845955236714823,92.838,7.128153096459599
8,97.626,7.05307520659392,93.475,6.832719887501686
9,97.598,6.849182966406089,94.045,6.589415406194649
10,97.257,6.846446145616339,94.566,6.557182370549156
