dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,99.612,6.940866778121565,94.654,8.390750186287796
1,99.358,7.4701833738964964,94.505,8.240745408328356
2,99.477,7.0657905712238875,94.41,8.02934433004155
3,99.408,7.3982613004861,94.405,8.350371471000779
4,99.072,7.311516550912969,94.048,8.004484228716287
5,99.233,7.200455371541272,94.472,7.806930521284544
6,99.534,6.981804178691178,94.521,7.639497425938497
7,99.038,7.2508710601645046,94.147,7.653624564150568
8,98.977,7.352586723836144,94.599,7.206672958802496
9,99.41,7.198452452973328,95.396,6.720740461612273
10,99.401,6.893019128996576,96.533,6.7302457018453055
