dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,104.666,7.427220718923574,102.019,8.929746882156255
1,104.059,7.674269568722056,101.028,8.981195793316049
2,103.641,7.6333732639893475,100.218,8.8701271217021
3,104.563,7.650657720978214,100.463,9.077611692181707
4,104.039,7.719525249007873,99.802,9.156562599504174
5,103.948,7.821411028099115,99.193,8.93283530277742
6,103.795,7.659480572639547,99.223,8.793098975309535
7,104.423,7.632452117460373,99.532,8.309995910470235
8,104.019,7.815863786346761,99.208,7.858912042929256
9,103.28,7.542843926165681,99.211,7.236770678268716
10,104.278,7.518859571055257,100.704,7.070528719719366
