dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,96.136,6.597198422590231,90.258,7.5721049103121105
1,96.34,6.485403646686955,90.797,7.457707986265513
2,96.289,6.788487501834452,90.889,7.391028771849444
3,96.233,6.856801493898356,90.884,7.4509100155658885
4,95.879,6.543636464396397,90.83,7.232662816101095
5,95.971,6.832777315692781,91.044,7.240613958117812
6,96.068,6.472655658326903,91.368,6.8918846532769305
7,96.437,6.671622107219618,91.907,6.918396867426385
8,96.34,6.552200495355078,92.151,6.552490681728142
9,95.961,6.751078140271823,92.567,6.454236451213123
10,96.462,6.832220373731752,93.684,6.591478710546792
