dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,101.312,7.242037220499705,97.538,8.746946042194674
1,101.473,7.367873272292117,97.325,8.615660427651765
2,101.491,7.587192134412077,97.18,8.718234202383394
3,101.77,7.2300327366736985,96.965,8.390600525419929
4,101.037,7.327572880860641,96.795,8.313729192912955
5,101.377,7.4438082512435315,96.568,8.39510892447822
6,101.746,7.461444709783565,96.384,7.824178024672097
7,101.38,7.797204396217685,96.379,7.895929628910373
8,101.225,7.344543370238705,96.671,7.5752322171101225
9,101.827,7.3187864865451315,97.298,7.013728565348704
10,101.457,7.522282614721128,98.418,6.946476051173684
