dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,93.962,6.109818809579044,87.947,7.25015556769341
1,94.158,6.117226206088545,88.77,6.8009817933408225
2,93.935,6.264504690637483,88.765,6.876122167039796
3,94,6.395381216229483,88.622,7.016006010569001
4,94.339,6.133653128495342,88.885,6.56238065337876
5,94.136,6.364275921737524,89.262,6.3611178121317495
6,94.04,6.6759994734098775,89.522,6.717636685817613
7,94.093,6.103901097544799,89.67,6.265808835286978
8,94.375,6.352694840123499,90.332,5.987790045553504
9,93.815,6.273286947775395,90.723,6.025327839676077
10,93.845,6.41826839335729,91.643,6.153650820319465
