compromise_pdi,borda sum
3.666666666666667,166
3.4095238095238094,141
3.5428571428571427,140
3.771428571428572,151
3.133333333333333,152
3.2761904761904765,149
3.4761904761904763,157
3.419047619047619,153
3.476190476190476,145
3.3142857142857145,146
3.628571428571429,140
3.571428571428571,147
3.428571428571428,135
3.4952380952380953,147
3.742857142857143,143
3.1904761904761902,160
2.866666666666667,133
2.9523809523809526,145
3.438095238095238,148
3.638095238095238,150
3.5428571428571427,146
3.238095238095238,125
3.342857142857143,156
3.2095238095238097,144
3.447619047619047,158
3.5523809523809526,147
3.2190476190476187,153
3.2476190476190476,140
3.3428571428571425,161
3.1619047619047618,158
2.742857142857143,128
3.1333333333333337,129
3.6952380952380954,155
2.933333333333334,123
3.047619047619048,150
3.1809523809523803,150
3.104761904761905,158
3.5714285714285716,154
3.047619047619048,149
3.133333333333333,135
3.2095238095238092,148
3.571428571428572,160
3.7809523809523813,162
2.990476190476191,160
3.352380952380952,147
3.1999999999999997,124
3.647619047619048,142
3.114285714285714,148
3.457142857142857,147
3.8571428571428577,156
3.095238095238095,133
3.914285714285714,142
3.5047619047619047,154
3.304761904761904,174
3.0285714285714285,157
3.3428571428571425,135
3.2,144
3.238095238095238,168
3.142857142857143,143
4.0,159
3.571428571428571,157
3.3619047619047624,157
2.7333333333333334,134
3.7142857142857135,145
3.2095238095238092,159
3.0571428571428574,150
3.619047619047619,177
2.8190476190476184,122
3.761904761904762,153
3.2095238095238097,128
3.3904761904761904,143
3.457142857142857,128
3.742857142857143,151
3.2666666666666666,134
3.085714285714286,144
3.685714285714286,155
3.495238095238095,158
3.4761904761904754,150
3.2571428571428567,152
3.8666666666666667,147
3.028571428571429,138
3.3714285714285714,155
3.1904761904761902,149
3.2666666666666666,164
3.266666666666667,148
3.0571428571428574,138
3.7523809523809524,146
3.3619047619047615,165
3.571428571428571,156
3.780952380952381,154
3.7523809523809524,147
3.2571428571428576,147
3.1904761904761907,144
3.628571428571428,144
3.295238095238095,146
3.390476190476191,155
3.3333333333333335,150
2.504761904761905,141
3.695238095238095,154
3.1904761904761907,134
2.9047619047619047,136
3.6190476190476186,149
3.247619047619047,144
3.114285714285714,143
3.4857142857142858,142
3.723809523809523,162
3.876190476190476,169
3.5619047619047617,174
2.742857142857143,147
4.085714285714286,156
3.333333333333333,148
3.6380952380952376,159
2.8761904761904766,148
3.7047619047619054,147
3.1142857142857143,142
3.0952380952380953,147
3.1047619047619044,142
2.923809523809524,151
