compromise_pdi,borda sum
3.2761904761904765,123
3.3619047619047615,150
3.2666666666666666,138
3.257142857142857,138
2.8190476190476192,132
3.619047619047619,151
3.6571428571428575,158
3.4857142857142853,157
3.9714285714285715,152
3.5238095238095237,147
3.780952380952381,141
3.2571428571428567,155
3.7142857142857144,172
3.7047619047619045,142
3.571428571428572,152
3.5428571428571427,145
3.5809523809523807,149
3.4476190476190474,144
3.647619047619048,151
3.7142857142857144,165
3.7142857142857144,147
3.5428571428571427,162
3.3428571428571425,138
3.5428571428571427,126
3.4000000000000004,121
3.1523809523809523,132
3.752380952380952,133
3.104761904761905,138
3.3904761904761904,127
2.9999999999999996,115
3.1904761904761902,157
3.2761904761904765,147
3.0285714285714285,133
3.457142857142857,150
3.438095238095238,137
2.8857142857142857,148
3.038095238095238,129
3.0952380952380953,116
3.504761904761905,134
2.7714285714285714,152
3.5428571428571427,144
3.3809523809523805,121
3.2571428571428567,129
3.2952380952380946,132
3.561904761904762,140
3.038095238095238,151
3.5619047619047617,147
3.580952380952382,136
3.285714285714286,130
3.295238095238095,139
3.495238095238095,134
3.3523809523809525,157
3.580952380952381,133
2.8571428571428568,130
3.180952380952381,137
3.761904761904762,155
3.8095238095238093,154
3.057142857142857,119
3.2095238095238097,143
3.1333333333333333,144
3.2095238095238097,122
3.580952380952381,142
3.295238095238095,147
3.5142857142857133,148
3.457142857142857,157
3.0571428571428574,140
2.7333333333333334,110
3.238095238095238,145
3.552380952380952,151
2.780952380952381,130
2.9619047619047616,126
3.4476190476190474,148
3.266666666666666,140
3.257142857142857,163
2.8857142857142852,125
3.704761904761905,153
3.5619047619047617,141
2.8380952380952387,116
3.1904761904761902,128
3.361904761904762,139
3.7238095238095235,143
3.1999999999999993,128
3.0666666666666673,142
3.5142857142857142,137
2.9333333333333327,139
3.1904761904761907,163
3.561904761904762,152
3.504761904761905,127
3.9428571428571426,141
3.2190476190476187,132
2.961904761904762,140
3.3809523809523814,124
3.1619047619047613,139
3.933333333333333,152
3.314285714285714,119
3.142857142857143,145
3.619047619047619,160
3.466666666666667,148
3.0952380952380953,148
3.4095238095238094,155
3.0,144
3.295238095238095,128
3.4761904761904763,137
3.1904761904761907,124
3.39047619047619,155
3.352380952380952,146
3.076190476190476,131
2.99047619047619,106
3.7523809523809524,154
3.6,149
3.1904761904761902,134
3.076190476190476,123
3.428571428571428,146
3.8571428571428568,157
3.5523809523809526,152
3.5142857142857142,148
4.123809523809524,155
3.4761904761904763,137
3.028571428571429,149
3.0285714285714285,125
3.2476190476190476,156
3.742857142857143,144
3.0095238095238095,124
2.933333333333333,142
3.1142857142857143,125
3.361904761904762,150
3.342857142857142,150
3.104761904761905,127
3.266666666666666,130
2.923809523809524,144
3.8476190476190477,158
3.3999999999999995,143
3.7904761904761903,153
3.4190476190476193,128
3.6190476190476195,144
3.247619047619047,139
2.7523809523809524,127
3.171428571428571,133
3.352380952380953,155
3.819047619047619,135
3.1809523809523808,134
3.495238095238095,143
3.238095238095238,136
3.1333333333333333,136
3.7523809523809524,130
3.438095238095238,149
3.238095238095238,137
3.2476190476190467,139
3.8380952380952387,146
2.8000000000000003,113
3.323809523809524,141
3.39047619047619,135
3.3714285714285714,135
3.552380952380952,161
2.9904761904761905,135
3.7142857142857144,143
3.780952380952381,138
3.3047619047619046,131
3.2666666666666666,145
3.085714285714286,151
3.4380952380952383,133
3.4952380952380953,151
3.790476190476191,153
3.39047619047619,140
3.457142857142857,138
3.342857142857143,128
3.4285714285714284,165
3.3999999999999995,128
3.619047619047619,142
3.2761904761904765,138
3.3428571428571434,144
3.3238095238095235,114
3.2571428571428567,149
3.5142857142857142,147
3.2857142857142865,144
3.2761904761904765,141
3.0,137
3.266666666666667,132
3.4571428571428573,147
3.447619047619048,141
3.4761904761904763,138
3.1714285714285713,131
3.5809523809523807,148
3.1523809523809523,141
3.552380952380952,152
3.40952380952381,129
3.914285714285714,121
3.923809523809523,136
3.4571428571428573,127
3.5333333333333337,155
3.504761904761905,170
3.819047619047619,159
2.752380952380952,120
3.047619047619048,137
3.5523809523809535,143
3.533333333333333,138
3.4190476190476184,130
3.076190476190477,132
3.4095238095238094,147
3.238095238095238,150
3.5999999999999996,134
3.333333333333334,148
3.152380952380952,118
3.3047619047619046,157
3.295238095238095,143
3.2476190476190467,151
3.2190476190476187,128
3.2190476190476187,140
3.314285714285714,158
3.4571428571428573,141
3.1999999999999997,125
3.114285714285714,143
3.4,148
3.533333333333333,156
2.8476190476190473,119
3.238095238095238,136
3.5238095238095246,148
3.2857142857142856,150
3.3333333333333335,132
3.59047619047619,152
3.3238095238095235,146
3.5047619047619043,136
3.314285714285714,120
3.352380952380953,147
3.390476190476191,138
3.5904761904761906,155
3.7999999999999994,127
3.8380952380952382,142
3.3428571428571425,139
3.257142857142857,140
3.447619047619048,147
3.742857142857142,147
3.39047619047619,128
3.6571428571428566,119
3.5428571428571427,135
3.0952380952380953,139
3.266666666666666,153
3.514285714285714,129
2.8666666666666663,141
3.123809523809524,135
3.4095238095238094,149
3.3619047619047615,160
3.3904761904761904,148
3.7714285714285714,113
3.2761904761904765,148
3.666666666666667,150
3.142857142857143,160
3.7142857142857144,168
2.895238095238095,130
3.866666666666667,147
3.095238095238096,126
3.7904761904761903,154
3.4095238095238094,149
3.342857142857143,130
3.333333333333333,134
3.095238095238095,144
2.9999999999999996,147
2.942857142857143,133
3.838095238095238,144
3.2380952380952386,142
3.5714285714285707,136
3.561904761904762,151
3.1999999999999997,124
3.5238095238095237,142
3.761904761904762,156
3.40952380952381,163
3.3809523809523805,168
3.1333333333333333,138
3.361904761904762,155
2.752380952380953,145
3.323809523809524,142
3.0857142857142854,127
3.285714285714285,137
4.228571428571429,144
3.295238095238095,157
3.419047619047619,162
3.1904761904761902,153
3.552380952380952,152
3.5333333333333337,123
3.4476190476190482,143
3.3904761904761913,147
3.5238095238095237,174
3.076190476190476,140
3.5714285714285716,128
3.723809523809524,163
3.952380952380952,143
3.6190476190476195,156
3.7714285714285714,145
3.152380952380952,142
3.5904761904761906,141
3.1523809523809527,132
3.323809523809524,143
3.2095238095238097,134
3.390476190476191,139
3.3714285714285714,145
3.361904761904762,148
3.8095238095238098,157
3.085714285714286,146
2.923809523809524,137
3.4,121
3.39047619047619,142
3.066666666666667,149
3.6857142857142855,141
3.1523809523809514,142
3.2476190476190476,127
2.9904761904761905,123
3.5428571428571423,136
3.2476190476190476,130
3.7809523809523813,166
3.8285714285714287,140
3.4666666666666663,138
3.6380952380952385,153
3.228571428571428,136
3.2571428571428567,128
3.466666666666667,140
4.019047619047618,134
3.4,157
2.9714285714285715,117
3.8095238095238093,148
3.2476190476190476,135
3.1523809523809523,133
3.0285714285714285,153
3.704761904761905,158
3.428571428571429,166
2.9809523809523806,125
2.9047619047619047,150
3.266666666666666,134
3.571428571428571,150
3.2,136
3.1619047619047618,149
3.238095238095238,141
3.3523809523809525,137
3.457142857142857,132
2.6857142857142855,130
3.314285714285714,132
4.180952380952381,128
3.666666666666666,153
3.342857142857143,133
3.314285714285715,135
3.3238095238095244,127
3.1619047619047618,140
3.571428571428571,160
3.5619047619047612,138
3.0,131
3.0666666666666664,143
3.038095238095238,133
3.9142857142857146,142
3.228571428571428,138
3.304761904761904,147
3.047619047619047,137
3.171428571428571,136
