dispersion,init_mean,init_stdev,top_swap_mean,top_swap_stdev,bottom_swap_mean,bottom_swap_stdev
0.0,120,0.0,120,0.0,120,0.0
0.1,120,0.0,101.61,12.091315023184988,103.25,9.663400702201743
0.2,120,0.0,87.81,12.951888439197356,96.45,7.7150973598994375
0.3,120,0.0,75.4,15.781334070683158,91.55,5.767157099481599
0.4,120,0.0,66.99,15.210638887092657,89.92,5.4377654352953595
0.5,120,0.0,57.3,11.785541561548621,88.69,3.5723262940995677
0.6,120,0.0,51.71,14.030482687507385,87.48,3.5745452490315097
0.7,120,0.0,46.02,11.350236948534546,87.82,4.056121449380086
0.8,120,0.0,43.95,11.091333408011716,86.78,3.3107721336890767
0.9,120,0.0,44.91,9.537904180773477,86.97,3.226954031781724
1.0,120,0.0,46.49,9.737457615213573,87.38,3.2248404549056313
