dispersion,init_mean,init_stdev,top_swap_mean,top_swap_stdev,bottom_swap_mean,bottom_swap_stdev
0.0,120,0.0,120,0.0,120,0.0
0.1,120,0.0,106.914,10.862900589549591,109.186,7.846690072264888
0.2,120,0.0,93.962,13.689534788496317,102.928,6.322243076237267
0.3,120,0.0,84.21,14.710223701994659,101.248,5.5011836948140695
0.4,120,0.0,75.724,15.486105479617905,99.326,4.2961188617808395
0.5,120,0.0,68.474,14.907507893110985,98.588,3.8298291322674864
0.6,120,0.0,61.594,15.27808901689004,97.804,3.35620503313622
0.7,120,0.0,55.196,14.541957263108849,97.854,3.3697766676115433
0.8,120,0.0,51.57,13.992021058682454,97.436,3.0862524050724742
0.9,120,0.0,49.12,13.41557136726649,97.22,2.7998711679493806
1.0,120,0.0,48.8,12.70049625843104,96.948,2.7619835456085586
