distance_pdi,borda sum
52.438095238095244,182
52.552380952380965,197
53.104761904761915,165
50.85714285714284,166
52.13333333333335,170
51.79047619047616,186
53.542857142857144,189
52.55238095238095,185
51.73333333333335,191
53.77142857142855,201
51.676190476190456,174
51.98095238095238,192
53.1238095238095,188
49.714285714285715,174
53.94285714285714,174
51.733333333333334,184
52.43809523809524,176
53.18095238095238,189
51.08571428571429,180
52.47619047619045,193
52.380952380952365,176
53.84761904761904,187
52.32380952380953,162
53.80952380952382,182
51.42857142857142,173
51.580952380952404,192
52.533333333333324,184
52.41904761904759,175
52.49523809523808,185
52.342857142857106,190
52.761904761904745,198
52.209523809523795,185
52.49523809523811,166
53.1047619047619,167
52.133333333333326,193
52.49523809523809,172
50.133333333333326,166
49.67619047619047,187
53.33333333333333,199
53.866666666666625,190
52.20952380952379,185
52.72380952380952,160
53.790476190476184,176
51.63809523809525,176
52.72380952380953,197
52.79999999999996,190
49.085714285714296,177
52.323809523809494,167
52.38095238095236,193
52.5904761904762,201
52.22857142857138,179
53.29523809523811,183
53.37142857142857,178
52.85714285714286,178
51.2761904761905,170
52.914285714285704,160
53.02857142857144,185
53.27619047619047,188
53.44761904761904,196
51.77142857142857,196
52.476190476190474,192
52.41904761904763,176
51.752380952380946,196
53.219047619047615,182
52.952380952380956,168
52.72380952380954,180
52.91428571428569,175
52.761904761904766,191
53.504761904761885,190
53.390476190476186,193
51.77142857142856,181
53.04761904761903,185
50.49523809523808,182
52.01904761904762,176
53.161904761904765,194
52.533333333333346,177
51.46666666666664,185
50.51428571428572,173
53.352380952380955,173
52.43809523809525,166
53.79047619047621,178
53.88571428571429,191
53.54285714285715,181
52.438095238095215,175
52.15238095238096,166
53.1047619047619,165
51.18095238095238,185
52.78095238095238,198
51.99999999999997,172
53.37142857142858,191
53.58095238095238,192
52.819047619047595,193
52.114285714285714,188
52.40000000000001,174
53.599999999999994,190
53.504761904761914,188
52.876190476190466,194
53.123809523809484,177
52.43809523809525,187
51.67619047619046,170
52.933333333333344,193
53.54285714285715,194
51.90476190476189,183
50.85714285714285,178
53.771428571428565,196
54.13333333333331,177
50.72380952380952,181
53.009523809523806,180
51.71428571428572,174
53.94285714285716,193
52.72380952380951,202
52.628571428571426,189
53.98095238095238,193
51.25714285714285,182
50.533333333333324,171
54.13333333333333,184
51.67619047619044,190
53.50476190476191,175
53.35238095238095,176
52.400000000000006,186
53.52380952380951,191
52.81904761904761,194
53.123809523809534,190
51.142857142857146,184
53.94285714285715,195
53.904761904761884,163
53.48571428571427,196
51.04761904761905,188
52.45714285714285,173
50.17142857142857,178
53.54285714285716,179
49.92380952380953,161
53.161904761904765,192
52.7809523809524,191
52.81904761904763,188
52.81904761904762,183
53.90476190476191,205
53.31428571428572,182
53.25714285714285,165
52.91428571428571,191
52.66666666666667,173
53.638095238095154,170
53.54285714285714,177
52.095238095238116,182
52.41904761904762,183
51.752380952380946,183
50.74285714285714,192
50.85714285714286,183
52.24761904761905,176
53.61904761904762,193
52.66666666666666,200
52.72380952380952,163
51.29523809523812,186
52.66666666666667,190
52.30476190476191,194
51.942857142857136,181
53.14285714285714,199
52.13333333333333,185
53.18095238095239,187
52.571428571428584,177
52.590476190476174,186
51.885714285714286,182
52.05714285714285,183
52.99047619047619,178
51.80952380952382,181
53.27619047619047,189
51.39047619047619,194
52.114285714285714,170
52.228571428571435,186
52.361904761904775,181
54.6857142857143,182
51.88571428571429,179
50.99047619047617,185
53.63809523809519,199
52.70476190476188,184
53.84761904761905,181
52.209523809523816,190
52.419047619047625,167
52.07619047619045,187
52.247619047619025,182
52.20952380952381,176
53.752380952380946,160
52.095238095238095,175
53.04761904761906,184
52.30476190476191,190
52.0,185
52.971428571428575,170
53.08571428571429,198
53.90476190476192,193
53.19999999999999,184
50.914285714285704,197
52.36190476190477,179
52.05714285714285,190
53.12380952380953,185
53.27619047619048,180
53.809523809523824,190
50.81904761904762,180
52.99047619047621,173
53.02857142857143,201
52.76190476190476,164
51.94285714285712,176
52.952380952380956,186
52.13333333333334,193
51.48571428571427,158
52.990476190476194,196
51.56190476190477,172
51.90476190476189,186
51.80952380952378,172
52.51428571428572,186
51.16190476190477,158
48.93333333333332,159
52.4952380952381,192
53.18095238095237,171
50.87619047619049,185
53.82857142857144,188
52.876190476190466,185
54.304761904761904,195
52.66666666666666,185
53.27619047619048,187
52.26666666666667,200
52.70476190476192,186
52.26666666666669,163
52.019047619047576,184
52.2666666666666,193
52.209523809523795,177
50.00000000000001,169
54.01904761904761,192
53.44761904761905,199
53.92380952380955,174
53.6952380952381,195
51.02857142857144,166
53.466666666666676,181
53.676190476190484,197
53.48571428571429,190
53.980952380952374,194
51.90476190476187,165
51.42857142857141,177
52.933333333333344,175
52.4,181
53.409523809523805,187
50.79999999999999,159
53.028571428571425,192
51.65714285714286,198
53.86666666666667,185
52.419047619047625,192
54.03809523809524,177
52.647619047619045,191
51.77142857142855,165
52.03809523809522,186
52.323809523809516,186
52.79999999999999,186
52.895238095238106,191
50.93333333333328,169
52.28571428571429,176
53.48571428571429,203
51.79047619047621,192
53.02857142857143,190
53.16190476190477,175
51.00952380952381,181
51.40952380952382,181
51.86666666666665,189
51.904761904761884,189
51.86666666666664,200
52.95238095238097,182
52.66666666666666,182
52.4952380952381,160
52.26666666666667,171
50.91428571428571,179
