distance_pdi,borda sum
53.485714285714295,162
53.371428571428574,120
52.28571428571429,177
52.99047619047619,157
51.42857142857144,177
53.46666666666667,142
52.13333333333333,170
53.047619047619065,167
53.18095238095238,139
51.00952380952381,134
53.047619047619044,167
53.10476190476193,161
51.59999999999998,161
52.74285714285713,157
51.61904761904762,167
52.81904761904761,166
53.314285714285724,164
50.66666666666665,158
52.47619047619045,158
52.571428571428555,146
51.67619047619048,172
51.96190476190475,143
53.923809523809524,185
53.828571428571436,158
53.35238095238093,164
51.63809523809519,137
52.495238095238115,154
51.67619047619043,146
50.80000000000002,149
53.04761904761904,151
52.457142857142834,112
52.323809523809516,138
54.11428571428572,158
54.22857142857143,170
53.25714285714285,140
52.95238095238095,163
51.69523809523808,172
53.35238095238094,135
52.38095238095239,138
53.21904761904762,151
52.11428571428567,144
54.30476190476191,162
50.647619047619045,138
53.35238095238094,161
52.38095238095239,132
53.08571428571429,147
53.5047619047619,153
53.771428571428594,162
52.97142857142856,136
52.83809523809523,142
51.6190476190476,154
53.02857142857144,151
51.00952380952378,170
52.609523809523814,154
53.371428571428574,170
53.29523809523808,177
50.66666666666665,154
53.60000000000001,122
53.73333333333333,133
51.3523809523809,139
49.84761904761903,121
52.83809523809524,153
50.380952380952365,125
51.942857142857164,157
53.31428571428572,151
54.03809523809526,139
51.6,167
51.75238095238096,131
52.93333333333334,142
52.45714285714286,159
53.06666666666667,159
53.35238095238097,162
52.09523809523811,157
52.742857142857126,151
52.26666666666667,149
52.55238095238095,146
53.295238095238105,135
52.514285714285734,149
52.24761904761904,155
52.91428571428571,154
52.60952380952379,176
52.5904761904762,152
52.91428571428571,169
53.58095238095235,162
53.390476190476186,167
53.29523809523809,166
51.599999999999966,148
52.45714285714287,106
53.21904761904762,162
53.542857142857095,145
52.761904761904745,147
53.14285714285714,129
54.09523809523809,151
51.90476190476191,174
51.35238095238093,167
52.495238095238086,141
53.523809523809526,117
52.190476190476154,148
53.7142857142857,159
54.41904761904762,170
52.05714285714286,120
52.495238095238115,154
51.866666666666674,141
53.16190476190477,194
51.63809523809524,137
52.761904761904766,146
52.78095238095238,126
51.71428571428571,152
52.93333333333333,172
53.0095238095238,158
53.27619047619051,124
53.02857142857143,140
51.657142857142844,151
51.80952380952381,142
51.61904761904762,178
53.447619047619064,164
53.69523809523812,130
51.56190476190476,165
52.70476190476191,171
52.95238095238096,145
51.84761904761905,157
53.485714285714295,145
49.44761904761903,151
52.70476190476185,165
51.1047619047619,120
53.37142857142859,169
52.43809523809522,153
53.79047619047617,170
52.247619047619025,170
52.7047619047619,173
51.82857142857141,164
53.52380952380951,172
51.6761904761905,151
52.4952380952381,169
53.447619047619035,152
52.514285714285734,151
52.266666666666666,105
51.33333333333335,141
53.61904761904764,171
51.904761904761905,147
52.97142857142856,175
53.371428571428574,163
50.95238095238095,158
52.43809523809525,141
53.04761904761905,152
53.54285714285715,159
53.5047619047619,152
50.7238095238095,154
52.171428571428535,175
51.885714285714286,153
50.552380952380936,128
53.52380952380954,172
52.0,144
52.74285714285715,157
52.03809523809524,139
50.49523809523809,160
52.914285714285676,130
52.45714285714286,135
52.79999999999999,150
53.6,153
53.50476190476189,136
52.990476190476215,149
52.22857142857142,157
52.53333333333335,150
52.514285714285705,160
51.94285714285716,166
52.857142857142854,147
50.399999999999984,154
52.13333333333331,151
52.361904761904725,153
53.6,161
53.59999999999995,167
53.06666666666666,153
52.60952380952383,126
51.67619047619048,150
53.54285714285714,133
50.304761904761904,133
53.25714285714285,165
51.9047619047619,160
52.32380952380952,145
52.552380952380936,156
50.28571428571428,157
53.77142857142856,158
52.89523809523809,165
52.15238095238094,125
53.5047619047619,164
53.12380952380953,173
50.8380952380952,118
53.65714285714285,153
52.20952380952382,168
53.06666666666665,125
52.495238095238115,165
54.05714285714286,153
52.019047619047626,189
53.23809523809522,158
52.6857142857143,144
51.9047619047619,142
53.599999999999994,145
51.942857142857164,161
51.16190476190475,159
52.45714285714285,160
52.438095238095244,136
50.81904761904761,144
51.599999999999994,171
51.19999999999999,123
51.71428571428571,156
52.28571428571428,155
52.53333333333331,148
51.12380952380952,144
52.78095238095238,171
52.7238095238095,185
50.857142857142826,147
50.39999999999999,143
52.857142857142854,140
53.46666666666666,137
52.895238095238106,128
52.89523809523809,126
51.29523809523809,152
51.35238095238095,164
53.1047619047619,100
53.066666666666634,158
51.63809523809525,168
53.54285714285713,149
53.39047619047618,132
51.276190476190486,152
51.75238095238094,162
51.71428571428571,122
51.52380952380951,118
52.76190476190472,168
53.77142857142857,140
51.942857142857115,180
50.285714285714285,162
53.523809523809526,168
52.01904761904762,125
53.27619047619045,127
50.55238095238095,165
52.342857142857135,157
54.51428571428572,166
53.314285714285745,152
52.39999999999999,156
53.99999999999998,191
52.20952380952383,138
53.00952380952379,145
51.6,135
51.542857142857116,157
51.733333333333334,156
53.009523809523806,162
51.02857142857141,174
52.34285714285715,160
52.057142857142864,145
52.97142857142857,167
52.666666666666664,130
53.2761904761905,177
51.0095238095238,140
53.21904761904761,152
53.27619047619047,130
52.70476190476191,151
53.23809523809525,166
52.76190476190476,153
51.56190476190477,169
53.352380952380926,144
52.590476190476174,157
53.86666666666669,142
52.55238095238098,154
53.371428571428574,167
53.75238095238095,168
51.42857142857141,160
50.723809523809514,128
53.866666666666674,133
52.590476190476195,148
52.304761904761904,146
53.23809523809522,156
53.48571428571429,166
52.62857142857143,165
54.26666666666668,157
52.66666666666662,163
53.542857142857144,157
51.790476190476184,152
52.780952380952385,158
50.380952380952365,171
52.266666666666666,163
52.07619047619048,131
52.19047619047619,170
52.93333333333334,165
51.27619047619048,165
52.34285714285714,158
53.866666666666674,164
52.74285714285715,140
51.75238095238095,187
51.08571428571427,144
52.74285714285713,155
52.57142857142854,158
52.095238095238095,142
53.25714285714286,169
52.40000000000001,97
52.53333333333331,145
52.55238095238092,143
53.104761904761894,167
51.65714285714286,129
53.40952380952379,169
52.81904761904763,142
51.50476190476191,142
52.6095238095238,187
52.419047619047596,190
52.933333333333344,149
53.35238095238096,174
54.05714285714287,172
53.4857142857143,154
52.361904761904746,125
54.13333333333334,169
53.314285714285724,88
53.16190476190475,147
53.54285714285715,192
53.27619047619049,163
53.5809523809524,160
53.561904761904735,187
53.6952380952381,143
53.63809523809521,151
53.02857142857142,160
53.18095238095239,149
52.1904761904762,136
52.3047619047619,151
51.65714285714287,169
54.32380952380952,165
52.53333333333334,162
52.64761904761904,143
51.828571428571436,131
54.30476190476191,172
52.51428571428571,149
52.438095238095244,179
52.78095238095239,125
52.0,165
53.06666666666666,151
50.70476190476191,185
52.87619047619048,162
53.67619047619049,165
52.83809523809523,139
52.76190476190477,141
52.39999999999998,170
52.590476190476174,131
51.80952380952381,142
52.68571428571426,157
53.238095238095234,136
53.904761904761905,164
52.74285714285715,112
53.14285714285714,153
53.31428571428571,181
53.23809523809523,122
53.676190476190456,178
52.05714285714286,136
53.63809523809522,148
53.14285714285714,150
49.84761904761904,148
52.91428571428569,152
51.14285714285714,156
54.438095238095244,156
50.20952380952382,160
53.371428571428545,148
51.48571428571427,150
52.51428571428571,183
52.72380952380951,142
53.94285714285714,165
51.46666666666662,127
52.05714285714286,176
52.666666666666664,169
53.219047619047615,162
53.180952380952384,158
52.399999999999984,142
52.419047619047625,167
52.66666666666664,168
53.77142857142856,152
52.62857142857142,168
52.49523809523808,164
52.57142857142858,149
51.80952380952381,143
52.87619047619049,137
52.55238095238094,159
53.39047619047618,177
53.75238095238095,178
51.84761904761905,141
52.800000000000004,157
53.06666666666668,171
53.82857142857144,167
52.34285714285715,191
52.666666666666664,147
52.15238095238093,149
53.161904761904765,161
52.85714285714284,146
52.38095238095238,153
51.88571428571429,146
53.333333333333314,145
50.647619047619024,169
50.36190476190476,137
53.04761904761904,170
51.88571428571427,138
54.32380952380947,165
51.44761904761903,131
53.52380952380951,172
52.03809523809523,163
54.57142857142858,172
50.51428571428572,170
52.19047619047621,121
52.30476190476192,106
53.59999999999998,128
51.638095238095254,159
53.79047619047619,156
51.3904761904762,144
52.83809523809521,155
54.057142857142864,158
52.628571428571405,166
53.50476190476191,164
52.83809523809523,117
52.87619047619048,140
51.809523809523796,119
50.91428571428571,150
52.32380952380952,183
51.37142857142859,172
51.96190476190476,149
52.8,150
53.5047619047619,111
52.17142857142859,167
51.9047619047619,177
52.47619047619049,140
53.52380952380952,157
52.64761904761905,140
53.79047619047617,117
52.133333333333354,165
53.06666666666667,160
54.01904761904764,136
53.77142857142857,191
52.62857142857144,116
52.95238095238094,166
53.504761904761914,173
51.88571428571429,156
52.49523809523808,151
52.78095238095236,128
52.01904761904761,140
50.19047619047618,126
52.11428571428572,156
52.171428571428564,116
53.5238095238095,136
50.571428571428555,127
52.64761904761901,139
53.23809523809525,133
52.49523809523807,153
52.3047619047619,157
49.999999999999986,131
53.352380952380976,180
53.733333333333334,148
53.73333333333334,154
50.41904761904762,154
50.57142857142857,138
53.180952380952384,110
53.80952380952382,186
53.67619047619049,128
52.438095238095244,154
51.82857142857142,152
52.34285714285712,166
51.980952380952374,125
52.60952380952381,127
53.21904761904764,144
50.895238095238085,129
51.847619047619034,140
52.26666666666667,149
53.08571428571428,185
53.180952380952384,174
52.838095238095235,159
53.44761904761905,154
50.95238095238097,144
51.75238095238097,146
53.18095238095239,161
53.92380952380952,139
50.24761904761904,176
53.0095238095238,123
52.41904761904764,178
53.5238095238095,153
51.580952380952354,154
53.61904761904763,129
52.36190476190478,147
53.085714285714275,151
52.93333333333335,157
52.47619047619047,149
53.63809523809523,151
52.62857142857144,123
51.10476190476188,137
52.87619047619048,133
52.72380952380952,165
53.523809523809504,157
52.32380952380953,151
52.74285714285714,160
52.49523809523811,122
52.87619047619048,158
52.1904761904762,153
53.21904761904762,120
52.780952380952385,158
53.99999999999997,151
53.16190476190475,174
53.44761904761904,157
52.57142857142857,160
53.00952380952378,143
52.83809523809523,169
54.076190476190476,171
49.96190476190476,172
52.28571428571428,142
53.35238095238094,162
52.93333333333333,149
52.228571428571435,176
52.95238095238094,161
52.72380952380953,146
52.43809523809524,144
52.47619047619049,160
51.92380952380953,119
52.01904761904761,160
53.657142857142816,108
53.047619047619044,176
52.22857142857144,154
52.49523809523808,164
53.40952380952381,168
52.03809523809522,145
51.04761904761905,152
52.87619047619047,150
51.047619047619044,149
52.68571428571428,189
52.49523809523809,161
52.45714285714284,148
52.51428571428571,161
52.64761904761905,172
52.93333333333334,183
51.75238095238095,130
53.67619047619048,147
52.99047619047619,160
52.666666666666664,135
52.13333333333333,162
52.97142857142857,148
52.26666666666666,141
52.13333333333334,113
51.904761904761905,159
52.9142857142857,162
51.16190476190475,129
51.942857142857115,151
53.352380952380955,163
53.542857142857144,167
52.68571428571428,153
51.35238095238093,147
51.12380952380952,146
52.590476190476195,147
52.80000000000001,116
52.24761904761903,137
53.428571428571416,146
53.085714285714275,154
51.98095238095237,102
49.63809523809523,165
52.666666666666664,115
51.79047619047618,167
52.476190476190425,139
50.93333333333334,133
54.09523809523811,150
53.180952380952355,164
52.64761904761903,169
52.819047619047616,111
52.85714285714286,142
52.68571428571431,112
51.86666666666667,140
53.25714285714287,119
53.04761904761905,129
51.847619047619034,171
52.780952380952364,182
52.89523809523809,186
52.247619047619054,164
53.40952380952379,149
51.92380952380949,165
51.80952380952381,126
50.647619047619024,152
53.10476190476191,163
52.11428571428567,186
51.4285714285714,165
51.99999999999997,144
51.561904761904756,132
53.75238095238096,152
52.266666666666666,191
53.46666666666667,160
52.64761904761906,175
52.47619047619047,132
52.64761904761906,142
53.79047619047619,151
52.36190476190475,157
51.695238095238075,160
52.47619047619047,147
50.74285714285713,153
52.68571428571429,174
53.46666666666666,137
51.790476190476184,134
51.14285714285713,148
53.23809523809524,129
54.24761904761904,147
51.35238095238095,150
54.038095238095245,154
53.885714285714286,148
51.94285714285714,144
53.56190476190476,118
53.866666666666674,139
51.752380952380946,175
50.495238095238115,170
53.65714285714287,178
53.542857142857144,162
53.35238095238096,148
52.11428571428573,162
52.53333333333335,139
50.38095238095238,122
52.038095238095245,165
52.780952380952385,127
52.76190476190477,132
51.561904761904756,147
53.14285714285715,142
51.77142857142857,152
52.038095238095245,166
52.49523809523809,133
52.38095238095239,160
50.99047619047619,167
51.77142857142853,156
51.961904761904755,169
51.066666666666656,141
51.82857142857142,120
53.447619047619035,181
52.91428571428569,160
52.81904761904761,126
51.86666666666666,152
52.22857142857143,142
52.68571428571428,134
51.447619047619035,127
51.96190476190477,144
54.13333333333335,162
50.76190476190476,157
50.91428571428572,158
52.91428571428572,138
53.98095238095239,147
50.34285714285711,146
54.09523809523808,132
54.057142857142864,150
53.75238095238096,163
50.590476190476195,146
52.70476190476191,160
53.79047619047619,148
52.3047619047619,160
52.000000000000014,147
53.085714285714275,118
53.0857142857143,181
52.70476190476192,138
53.31428571428571,155
54.20952380952379,170
53.390476190476186,136
52.24761904761905,141
50.85714285714287,117
53.10476190476188,187
52.3238095238095,138
52.5333333333333,173
52.85714285714281,151
52.97142857142858,134
51.00952380952382,155
52.2095238095238,149
52.114285714285714,155
51.75238095238097,175
52.24761904761905,150
50.76190476190475,146
51.752380952380925,157
53.56190476190474,177
53.63809523809525,146
51.58095238095238,167
51.104761904761915,172
53.44761904761904,190
53.00952380952379,167
53.46666666666667,131
50.97142857142854,140
52.81904761904763,177
51.828571428571415,161
53.14285714285714,177
51.790476190476205,130
51.14285714285715,149
51.65714285714285,169
52.57142857142858,128
