distance_pdi,borda sum
52.533333333333324,193
53.18095238095237,196
54.20952380952381,184
52.43809523809526,180
51.695238095238096,183
51.86666666666666,184
52.13333333333333,194
52.34285714285714,189
52.8,173
53.8857142857143,184
52.57142857142857,197
52.323809523809516,193
53.6,180
53.619047619047606,189
51.73333333333332,183
52.85714285714285,187
52.83809523809524,188
52.55238095238094,186
53.42857142857144,185
53.90476190476192,181
51.52380952380951,189
52.62857142857143,190
51.61904761904761,187
53.5809523809524,196
52.97142857142856,196
52.36190476190476,200
52.857142857142854,189
52.66666666666666,174
52.70476190476191,187
51.52380952380951,198
53.60000000000002,206
53.085714285714296,192
51.2952380952381,175
51.27619047619049,187
53.028571428571446,188
51.16190476190475,189
50.914285714285725,190
53.8857142857143,193
52.41904761904761,176
52.93333333333335,198
52.41904761904762,190
53.980952380952395,175
51.06666666666664,179
52.53333333333334,183
52.095238095238116,195
52.171428571428564,186
53.21904761904764,197
49.44761904761904,179
53.6761904761905,192
53.676190476190484,189
51.600000000000016,193
51.7904761904762,188
52.81904761904757,189
52.59047619047616,190
52.53333333333332,201
50.190476190476176,180
52.45714285714286,186
53.29523809523809,189
53.86666666666668,180
51.73333333333334,184
52.685714285714276,180
51.37142857142859,170
50.89523809523809,192
51.98095238095239,185
51.3142857142857,189
51.18095238095238,178
53.67619047619047,196
51.35238095238096,183
52.2857142857143,201
53.46666666666666,190
49.580952380952375,174
51.485714285714245,183
53.809523809523796,195
50.74285714285714,202
52.07619047619046,180
53.504761904761914,195
51.80952380952383,194
51.29523809523809,177
52.76190476190476,190
53.523809523809526,174
53.40952380952381,188
51.9047619047619,194
52.15238095238096,193
52.01904761904762,182
51.599999999999994,185
52.209523809523816,181
51.71428571428571,182
52.89523809523809,187
52.20952380952379,181
51.18095238095236,185
51.99999999999999,193
53.25714285714286,184
52.70476190476191,185
50.85714285714284,172
51.23809523809523,192
52.26666666666668,178
53.028571428571446,201
50.190476190476176,187
53.44761904761905,194
53.63809523809524,185
