distance_pdi,borda sum
52.89523809523808,179
52.24761904761905,181
52.8952380952381,184
53.028571428571446,186
51.86666666666667,189
53.085714285714296,195
52.74285714285715,185
54.0952380952381,188
52.95238095238095,204
51.16190476190478,195
52.514285714285684,187
53.48571428571429,182
52.057142857142864,162
51.7904761904762,191
53.00952380952381,181
51.390476190476186,176
52.45714285714287,187
52.114285714285714,191
50.55238095238096,192
49.69523809523807,187
52.03809523809525,183
52.133333333333304,197
52.70476190476191,196
52.74285714285714,187
54.20952380952382,197
52.51428571428573,190
52.266666666666666,185
51.961904761904776,185
52.34285714285714,189
52.13333333333334,188
52.26666666666667,191
53.23809523809524,184
53.199999999999996,194
52.95238095238092,182
54.247619047619054,188
52.30476190476188,173
51.6,177
53.04761904761906,183
53.180952380952384,188
49.98095238095238,177
52.15238095238096,189
52.11428571428567,173
51.58095238095238,198
53.21904761904762,185
51.428571428571416,180
51.2,182
52.609523809523836,183
51.790476190476184,174
53.80952380952382,196
52.51428571428574,196
53.04761904761904,195
52.28571428571428,186
53.21904761904763,190
51.92380952380954,182
52.228571428571435,192
52.647619047619045,194
52.30476190476192,180
50.761904761904724,174
52.609523809523814,196
54.45714285714284,187
51.942857142857115,183
51.44761904761904,181
52.97142857142857,187
50.81904761904762,181
53.35238095238094,188
53.7142857142857,192
51.35238095238096,183
52.000000000000014,184
52.03809523809523,186
53.219047619047615,199
52.28571428571427,195
52.019047619047605,196
53.71428571428572,178
51.447619047619064,181
50.87619047619047,185
51.619047619047606,179
52.895238095238106,189
51.61904761904759,184
52.01904761904763,179
53.485714285714295,193
52.038095238095224,192
53.142857142857125,183
51.371428571428496,182
53.84761904761905,184
50.87619047619048,191
53.790476190476184,186
52.57142857142858,189
54.4952380952381,190
53.56190476190476,176
52.43809523809524,177
52.133333333333326,179
52.47619047619046,192
52.838095238095235,171
50.819047619047616,183
52.55238095238095,191
52.22857142857144,184
52.17142857142858,180
50.685714285714276,177
51.771428571428565,184
50.93333333333332,178
