dispersion,mean,stddev
0.0,0,0.0
0.5,43.36,3.480323700638274
1.0,67.5,3.1574337293286208
1.5,57.44,3.8181093729322986
2.0,44.12,3.3723969553553146
2.5,35.2,3.0371845179241856
3.0,29.4,3.003399434518377
3.5,25.38,2.481688036438924
4.0,22.22,2.6518380225721145
