dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,94.684,6.438913231563507,95.314,6.478686392886861
1,94.704,6.283778311642595,95.285,6.583244953221331
2,94.909,6.456501018772118,95.798,6.650219652118373
3,94.83,6.392492781690407,95.834,6.624373655397643
4,94.858,6.273850268949459,96.005,6.601708684693498
5,94.891,6.43727873853211,95.905,6.780704458458056
6,94.811,6.415328162723668,95.77,6.585322047285651
7,94.765,6.273047594760151,95.944,6.399360578668451
8,94.612,6.32118765845576,95.954,6.657943542281822
9,94.851,6.275681889897159,96.028,6.809521685521354
10,94.714,6.375488283327862,95.804,6.603725705478173
