dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,295.412,10.49449975225595,289.866,12.02802522368336
1,293.788,10.603769889607351,288.942,11.818374844619537
2,294.6,10.900350236141088,288.054,11.713132755924686
3,295.742,10.663905182788104,289.062,12.170719322112202
4,295.996,10.98295199247169,288.782,12.499558148503317
5,296.53,10.692322081896243,290.18,11.68934907355953
6,294.97,10.520954375051906,288.836,11.593875101956185
7,295.744,10.844615039304134,288.72,12.222453794288077
8,295.224,10.695916475857365,288.622,11.787493627231534
9,296.054,10.536275918010162,288.57,11.894876046109292
10,295.212,10.57727817669813,287.858,12.010259308495991
11,295.618,10.437334521026315,288.51,11.328838650556404
12,294.962,10.399849505616846,287.698,11.418737721056761
13,294.818,11.195693954652945,287.832,11.66275334692724
14,295.438,10.674739158978285,287.362,11.602594381981367
15,294.87,10.20771742310591,286.698,11.1221490909267
16,295.118,10.84930831813549,286.952,11.366798327075958
17,295.214,10.8252749228049,286.886,11.247845663242728
18,295.788,10.635472841633806,288.742,10.546748494565291
19,295.422,10.499351826544109,290.026,10.271335095755497
