dispersion,mean,stddev
0,1.09,5.166748550216308
1,1.346,5.577140215735296
2,1.304,5.2740131236903185
3,1.592,5.365735572731193
4,1.438,5.366913780475154
5,1.404,5.488262571352086
6,1.892,5.495519763857637
7,1.954,5.785051221490656
8,2.16,5.5936551516796085
9,2.014,5.742801017539621
10,1.99,5.307564458483941
11,2.892,5.579839174243362
12,3.036,5.89101962519638
13,3.286,5.881273906691565
14,3.63,5.740645435840824
15,4.418,6.114085383780662
16,5.998,6.014177971539144
17,7.396,6.505676879720253
18,9.332,5.929256966631882
19,8.774,4.126133050193097
