dispersion,init_mean,init_stdev,permuted_mean,permuted_stdev
0,277.19,9.742881888588714,267.844,10.999529230224953
1,277.808,8.384732761810238,268.978,9.47993958361645
2,277.628,9.797837068580233,268.94,10.457874271023584
3,277.988,9.288940997212729,268.994,10.174921230362827
4,277.584,8.925821226595247,268.426,9.70199884369846
5,277.85,9.06177308604259,268.83,9.736462262792866
6,277.668,9.065215511201544,269.564,10.074169035882168
7,277.25,9.714125202863809,268.946,9.947511748168983
8,278.17,9.06805156129124,269.018,10.030698171693896
9,278.066,9.063881723842584,269.528,9.590263934045261
10,277.366,8.812909778133157,268.832,9.69183363861334
11,277.91,9.270262970978882,269.288,9.967133162899648
12,277.858,8.741777470668845,269.232,9.090845006150513
13,276.838,9.178029660930163,268.644,9.985022049583131
14,277.648,9.290032583948328,269.674,9.791806930589056
15,278.402,8.916018549416949,269.876,9.624858430106865
16,277.472,9.20057156018408,269.932,9.743163473376493
17,278.066,8.908443451549712,271.352,8.980723957767058
18,277.094,9.562428775587108,271.28,9.127113914969708
19,277.346,9.622654257007252,272.812,9.251585792682178
